,atu,id,language,level_1,level_2,title
0,440,2,Italian,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Il principe ranocchio o Enrico di Ferro
1,440,3,Spanish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,El Rey Rana o Enrique el Férreo
2,440,4,Danish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Frøkongen eller Jernhenrik
3,440,5,Polish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Żabi Król lub Żelazo Henryk
4,440,7,Polish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The frog king or Iron Henry
5,440,8,French,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Le roi Grenouille ou Henri de Fer
6,440,9,German,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Der Froschkönig oder der eiserne Heinrich
7,15,12,Italian,Animal Tales,Wild Animals,Gatto e topo in società
8,15,13,Spanish,Animal Tales,Wild Animals,El gato y el ratón hacen vida en común
9,15,14,Danish,Animal Tales,Wild Animals,Kat og mus i bofælleskab
10,15,15,Polish,Animal Tales,Wild Animals,Spółka kota z myszą
11,15,17,English,Animal Tales,Wild Animals,Cat and mouse in partnership
12,15,18,French,Animal Tales,Wild Animals,Chat et souris associés
13,15,19,German,Animal Tales,Wild Animals,Katze und Maus in Gesellschaft
14,710,22,Italian,Tales of Magic,Other Tales of the Supernatural,La figlia della Madonna
15,710,23,Spanish,Tales of Magic,Other Tales of the Supernatural,La hija de la Virgen María
16,710,24,Danish,Tales of Magic,Other Tales of the Supernatural,Mariebarnet
17,710,27,German,Tales of Magic,Other Tales of the Supernatural,Marienkind
18,326,30,Italian,Tales of Magic,Supernatural Adversaries,Storia di uno che se ne andò in cerca della paura
19,326,31,Spanish,Tales of Magic,Supernatural Adversaries,Historia de uno que hizo un viaje para saber lo que era miedo
20,326,32,Danish,Tales of Magic,Supernatural Adversaries,"Eventyret om en, der drog ud, for at lære frygt at kende"
21,326,33,Polish,Tales of Magic,Supernatural Adversaries,"Bajka o tym, co wyruszył, by nauczyć się bać"
22,326,36,German,Tales of Magic,Supernatural Adversaries,"Märchen von einem, der auszog, das Fürchten zu lernen"
23,123,39,Italian,Animal Tales,Wild Animals and Domestic Animals,Il lupo e i sette caprettini
24,123,40,Spanish,Animal Tales,Wild Animals and Domestic Animals,El lobo y la siete cabritillas
25,123,41,Danish,Animal Tales,Wild Animals and Domestic Animals,Ulven og de syv gedekid
26,123,42,Polish,Animal Tales,Wild Animals and Domestic Animals,O wilku i siedmiu koźlątkach
27,123,44,English,Animal Tales,Wild Animals and Domestic Animals,The Wolf and the Seven Young Kids
28,123,45,French,Animal Tales,Wild Animals and Domestic Animals,Le loup et les sept chevreaux
29,123,46,German,Animal Tales,Wild Animals and Domestic Animals,Der Wolf und die sieben jungen Geisslein
30,516,49,Italian,Tales of Magic,Supernatural Helpers,Il fedele Giovanni
31,516,50,Spanish,Tales of Magic,Supernatural Helpers,El fiel Juan
32,516,51,Danish,Tales of Magic,Supernatural Helpers,Den tro Johannes
33,516,52,Polish,Tales of Magic,Supernatural Helpers,Wierny Jan
34,516,54,English,Tales of Magic,Supernatural Helpers,Trusty John
35,516,55,French,Tales of Magic,Supernatural Helpers,Le fidèle Jean
36,516,56,German,Tales of Magic,Supernatural Helpers,Der treue Johannes
37,UNKNOWN,59,Italian,UNKNOWN,UNKNOWN,Il buon affare
38,UNKNOWN,60,Spanish,UNKNOWN,UNKNOWN,Un buen negocio
39,UNKNOWN,61,Danish,UNKNOWN,UNKNOWN,Den gode handel
40,UNKNOWN,64,English,UNKNOWN,UNKNOWN,The good bargain
41,UNKNOWN,66,German,UNKNOWN,UNKNOWN,Der gute Handel
42,151,69,Italian,Animal Tales,Wild Animals and Humans,Lo strano violinista
43,151,70,Spanish,Animal Tales,Wild Animals and Humans,El músico prodigioso
44,151,71,Danish,Animal Tales,Wild Animals and Humans,Den underlige spillemand
45,151,74,English,Animal Tales,Wild Animals and Humans,The Wonderful Musician
46,151,75,French,Animal Tales,Wild Animals and Humans,Le merveilleux ménétrier
47,151,76,German,Animal Tales,Wild Animals and Humans,Der wunderliche Spielmann
48,451,79,Italian,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,I dodici fratelli
49,451,80,Spanish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Los doce hermanos
50,451,81,Danish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,De tolv brødre
51,451,82,Polish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Dwunastu Braci
52,451,84,English,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The twelve brothers
53,451,85,French,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Les douze frères
54,451,86,German,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Die zwölf Brüder
55,210,89,Italian,Animal Tales,Domestic Animals,Gentaglia
56,210,90,Spanish,Animal Tales,Domestic Animals,La chusma
57,210,91,Danish,Animal Tales,Domestic Animals,Pak
58,210,94,Polish,Animal Tales,Domestic Animals,The pack of ragamuffins
59,210,95,French,Animal Tales,Domestic Animals,Les vagabonds
60,210,96,German,Animal Tales,Domestic Animals,Das Lumpengesindel
61,450,99,Italian,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Fratellino e sorellina
62,450,100,Spanish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Los dos hermanitos
63,450,101,Danish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Brorlil og søsterlil
64,450,104,Polish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The brother and sister
65,450,105,French,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Frérot et sœurette
66,450,106,German,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Brüderchen und Schwesterchen
67,310,109,Italian,Tales of Magic,Supernatural Adversaries,Raperonzolo
68,310,110,Spanish,Tales of Magic,Supernatural Adversaries,Rapunzel
69,310,111,Danish,Tales of Magic,Supernatural Adversaries,Klokkeblomst (Rapuntzel)
70,310,112,Polish,Tales of Magic,Supernatural Adversaries,Roszpunka
71,310,114,English,Tales of Magic,Supernatural Adversaries,Rapunzel
72,310,115,French,Tales of Magic,Supernatural Adversaries,Raiponce
73,310,116,German,Tales of Magic,Supernatural Adversaries,Rapunzel
74,480,119,Italian,Tales of Magic,Supernatural Tasks,I tre omini del bosco
75,480,120,Spanish,Tales of Magic,Supernatural Tasks,Los tres enanitos del bosque
76,480,121,Danish,Tales of Magic,Supernatural Tasks,De tre små mænd i skoven
77,480,124,Polish,Tales of Magic,Supernatural Tasks,The three little men in the wood
78,480,125,French,Tales of Magic,Supernatural Tasks,Les trois petits hommes de la forêt
79,480,126,German,Tales of Magic,Supernatural Tasks,Die drei Männlein im Walde
80,501,129,Italian,Tales of Magic,Supernatural Helpers,Le tre filatrici
81,501,130,Spanish,Tales of Magic,Supernatural Helpers,Las tres hilanderas
82,501,131,Danish,Tales of Magic,Supernatural Helpers,De tre spindersker
83,501,134,Polish,Tales of Magic,Supernatural Helpers,The three spinners
84,501,135,French,Tales of Magic,Supernatural Helpers,Les trois fileuses
85,501,136,German,Tales of Magic,Supernatural Helpers,Die drei Spinnerinnen
86,327,139,Italian,Tales of Magic,Supernatural Adversaries,Hänsel e Gretel
87,327,140,Spanish,Tales of Magic,Supernatural Adversaries,Hansel y Gretel
88,327,141,Danish,Tales of Magic,Supernatural Adversaries,Hans og Grete
89,327,142,Polish,Tales of Magic,Supernatural Adversaries,Jaś i Małgosia
90,327,144,English,Tales of Magic,Supernatural Adversaries,Hansel and Gretel
91,327,145,French,Tales of Magic,Supernatural Adversaries,Hansel et Gretel
92,327,146,German,Tales of Magic,Supernatural Adversaries,Hänsel und Gretel
93,612,149,Italian,Tales of Magic,Magic Objects,Le tre foglie della serpe
94,612,150,Spanish,Tales of Magic,Magic Objects,Las tres hojas de la serpiente
95,612,151,Danish,Tales of Magic,Magic Objects,De tre slangeblade
96,612,154,English,Tales of Magic,Magic Objects,The three snake-leaves
97,612,155,French,Tales of Magic,Magic Objects,Les trois feuilles du serpent
98,612,156,German,Tales of Magic,Magic Objects,Die drei Schlangenblätter
99,673,159,Italian,Tales of Magic,Supernatural Power or Knowledge,La serpe bianca
100,673,160,Spanish,Tales of Magic,Supernatural Power or Knowledge,La serpiente blanca
101,673,161,Danish,Tales of Magic,Supernatural Power or Knowledge,Den hvide slange
102,673,164,English,Tales of Magic,Supernatural Power or Knowledge,The white snake
103,673,165,French,Tales of Magic,Supernatural Power or Knowledge,Le serpent blanc
104,673,166,German,Tales of Magic,Supernatural Power or Knowledge,Die weisse Schlange
105,295,169,Italian,Animal Tales,Other Animals and Objects,"La pagliuzza, il carbone e il fagiolo"
106,295,170,Spanish,Animal Tales,Other Animals and Objects,"La paja, la brasa y la alubia"
107,295,171,Danish,Animal Tales,Other Animals and Objects,"Halmstrået, gnisten og bønnen"
108,295,172,Polish,Animal Tales,Other Animals and Objects,"Słomka, węgielek i groch"
109,295,174,English,Animal Tales,Other Animals and Objects,"Straw, coal, and bean"
110,295,175,French,Animal Tales,Other Animals and Objects,"Bout de paille, braise et haricot"
111,295,176,German,Animal Tales,Other Animals and Objects,"Strohhalm, Kohle und Bohne"
112,555,179,Italian,Tales of Magic,Supernatural Helpers,Il pescatore e sua moglie
113,555,180,Spanish,Tales of Magic,Supernatural Helpers,El pescador y su mujer
114,555,181,Danish,Tales of Magic,Supernatural Helpers,Fiskeren og hans kone
115,555,182,Polish,Tales of Magic,Supernatural Helpers,O rybaku i jego żonie
116,555,184,English,Tales of Magic,Supernatural Helpers,The fisherman and his wife
117,555,185,French,Tales of Magic,Supernatural Helpers,Du pêcheur et sa femme
118,555,186,German,Tales of Magic,Supernatural Helpers,Von dem Fischer und seiner Frau
119,1640,189,Italian,Anecdotes and Jokes,Stories about a Man,Il prode piccolo sarto (Sette in un colpo)
120,1640,190,Spanish,Anecdotes and Jokes,Stories about a Man,El sastrecillo valiente (Siete de un golpe)
121,1640,191,Danish,Anecdotes and Jokes,Stories about a Man,Den tapre lille skrædder (Syv i et hug)
122,1640,192,Polish,Anecdotes and Jokes,Stories about a Man,O dzielnym krawczyku
123,1640,194,English,Anecdotes and Jokes,Stories about a Man,The Valiant Little Tailor
124,1640,195,German,Anecdotes and Jokes,Stories about a Man,Das tapfere Schneiderlein
125,UNKNOWN,198,Italian,UNKNOWN,UNKNOWN,Cenerentola
126,UNKNOWN,199,Spanish,UNKNOWN,UNKNOWN,La Cenicienta
127,UNKNOWN,200,Danish,UNKNOWN,UNKNOWN,Askepot
128,UNKNOWN,201,Polish,UNKNOWN,UNKNOWN,Kopciuszek
129,UNKNOWN,203,English,UNKNOWN,UNKNOWN,Cinderella
130,UNKNOWN,204,French,UNKNOWN,UNKNOWN,Cendrillon
131,UNKNOWN,205,German,UNKNOWN,UNKNOWN,Aschenputtel
132,851,208,Spanish,Realistic Tales,The Man Marries the Princess,El acertijo
133,851,209,Danish,Realistic Tales,The Man Marries the Princess,Gåden
134,851,212,English,Realistic Tales,The Man Marries the Princess,The riddle
135,851,213,German,Realistic Tales,The Man Marries the Princess,Das Rätsel
136,85,216,Spanish,Animal Tales,Wild Animals,"El ratoncillo, el pajarito y la salchicha"
137,85,217,Danish,Animal Tales,Wild Animals,"Eventyret om musen, fuglen og medisterpølsen"
138,85,220,English,Animal Tales,Wild Animals,"The Mouse, the Bird, and the Sausage"
139,85,221,German,Animal Tales,Wild Animals,"Von dem Mäuschen, Vögelchen und der Bratwurst"
140,480,224,Italian,Tales of Magic,Supernatural Tasks,Madama Holle
141,480,225,Spanish,Tales of Magic,Supernatural Tasks,Madre Nieve (Frau Holle)
142,480,226,Danish,Tales of Magic,Supernatural Tasks,Mor Hulda
143,480,229,English,Tales of Magic,Supernatural Tasks,Mother Hulda
144,480,230,French,Tales of Magic,Supernatural Tasks,Dame Hiver (Dame Holle)
145,480,231,German,Tales of Magic,Supernatural Tasks,Frau Holle
146,451,234,Italian,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,I sette corvi
147,451,235,Spanish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Los siete cuervos
148,451,236,Danish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,De syv ravne
149,451,237,Polish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Siedem Kruków
150,451,239,English,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The seven ravens
151,451,240,French,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Les Sept Corbeaux
152,451,241,German,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Die sieben Raben
153,333,244,Italian,Tales of Magic,Supernatural Adversaries,Cappuccetto Rosso
154,333,245,Spanish,Tales of Magic,Supernatural Adversaries,Caperucita Roja
155,333,246,Danish,Tales of Magic,Supernatural Adversaries,Den lille Rødhætte
156,333,247,Polish,Tales of Magic,Supernatural Adversaries,Czerwony Kapturek
157,333,249,English,Tales of Magic,Supernatural Adversaries,Little Red Riding Hood
158,333,250,French,Tales of Magic,Supernatural Adversaries,Le Petit Chaperon Rouge
159,333,251,German,Tales of Magic,Supernatural Adversaries,Rotkäppchen
160,130,254,Italian,Animal Tales,Wild Animals and Domestic Animals,I musicanti di Brema
161,130,255,Spanish,Animal Tales,Wild Animals and Domestic Animals,Los músicos de Brema
162,130,256,Danish,Animal Tales,Wild Animals and Domestic Animals,De bremer stadsmusikanter
163,130,257,Polish,Animal Tales,Wild Animals and Domestic Animals,Muzykanci z Bremy
164,130,259,English,Animal Tales,Wild Animals and Domestic Animals,The Bremen town musicians
165,130,260,French,Animal Tales,Wild Animals and Domestic Animals,Les musiciens de Brême
166,130,261,German,Animal Tales,Wild Animals and Domestic Animals,Die Bremer Stadtmusikanten
167,780,264,Spanish,Religious Tales,The Truth Comes to Light,El hueso cantor
168,780,265,Danish,Religious Tales,The Truth Comes to Light,Det syngende ben
169,780,266,Polish,Religious Tales,The Truth Comes to Light,Śpiewająca kość
170,780,268,English,Religious Tales,The Truth Comes to Light,The singing bone
171,780,269,German,Religious Tales,The Truth Comes to Light,Der singende Knochen
172,461,272,Spanish,Tales of Magic,Supernatural Tasks,Los tres pelos de oro del diablo
173,461,273,Danish,Tales of Magic,Supernatural Tasks,Djævelens tre guldhår
174,461,274,Polish,Tales of Magic,Supernatural Tasks,Diabeł i jego trzy złote włosy
175,461,276,English,Tales of Magic,Supernatural Tasks,The devil with the three golden hairs
176,461,277,German,Tales of Magic,Supernatural Tasks,Der Teufel mit den drei goldenen Haaren
177,2022,280,Italian,Formula Tales,Cumulative Tales,Pidocchietto e Pulcettina
178,2022,281,Spanish,Formula Tales,Cumulative Tales,El piojito y la pulguita
179,2022,282,Danish,Formula Tales,Cumulative Tales,Lusen og loppen
180,2022,285,English,Formula Tales,Cumulative Tales,The Louse and the Flea
181,2022,286,French,Formula Tales,Cumulative Tales,Le petit Pou et la petite Puce
182,2022,287,German,Formula Tales,Cumulative Tales,Läuschen und Flöhchen
183,706,290,Italian,Tales of Magic,Other Tales of the Supernatural,La fanciulla senza mani
184,706,291,Spanish,Tales of Magic,Other Tales of the Supernatural,La doncella sin manos
185,706,292,Danish,Tales of Magic,Other Tales of the Supernatural,Pigen uden hænder
186,706,293,Polish,Tales of Magic,Other Tales of the Supernatural,Dziewczyna bez rąk
187,706,295,English,Tales of Magic,Other Tales of the Supernatural,The girl without hands
188,706,296,French,Tales of Magic,Other Tales of the Supernatural,La Jeune Fille sans mains
189,706,297,German,Tales of Magic,Other Tales of the Supernatural,Das Mädchen ohne Hände
190,1696,300,Italian,Anecdotes and Jokes,Stories about a Man,Gianni testa fina
191,1696,301,Spanish,Anecdotes and Jokes,Stories about a Man,Juan el listo
192,1696,302,Danish,Anecdotes and Jokes,Stories about a Man,Den kloge Hans
193,1696,305,English,Anecdotes and Jokes,Stories about a Man,Clever Hans
194,1696,307,German,Anecdotes and Jokes,Stories about a Man,Der gescheite Hans
195,671,310,Italian,Tales of Magic,Supernatural Power or Knowledge,I tre linguaggi
196,671,311,Spanish,Tales of Magic,Supernatural Power or Knowledge,Las tres lenguas
197,671,312,Danish,Tales of Magic,Supernatural Power or Knowledge,De tre sprog
198,671,315,English,Tales of Magic,Supernatural Power or Knowledge,The three languages
199,671,317,German,Tales of Magic,Supernatural Power or Knowledge,Die drei Sprachen
200,1450,320,Italian,Anecdotes and Jokes,Stories about a Woman,La saggia Elsa
201,1450,321,Spanish,Anecdotes and Jokes,Stories about a Woman,Elsa la Lista
202,1450,322,Danish,Anecdotes and Jokes,Stories about a Woman,Den kloge Else
203,1450,325,English,Anecdotes and Jokes,Stories about a Woman,Clever Else
204,1450,326,French,Anecdotes and Jokes,Stories about a Woman,La Sage Élise
205,1450,327,German,Anecdotes and Jokes,Stories about a Woman,Die kluge Else
206,800,330,Italian,Religious Tales,Heaven,Il sarto in paradiso
207,800,331,Spanish,Religious Tales,Heaven,El sastre en el cielo
208,800,332,Danish,Religious Tales,Heaven,Skrædderen i himlen
209,800,335,English,Religious Tales,Heaven,The tailor in heaven
210,800,336,French,Religious Tales,Heaven,Le Tailleur au ciel
211,800,337,German,Religious Tales,Heaven,Der Schneider im Himmel
212,563,340,Spanish,Tales of Magic,Magic Objects,"La mesa, el asno y el bastón maravillosos"
213,563,341,Danish,Tales of Magic,Magic Objects,"Bord dæk dig, guldæslet og knippelen i sækken"
214,563,342,Polish,Tales of Magic,Magic Objects,"Stoliczku nakryj się, złoty osiołek i kij z worka"
215,563,344,English,Tales of Magic,Magic Objects,"The Wishing-Table, the Gold-Ass, and the Cudgel in the Sack"
216,563,345,German,Tales of Magic,Magic Objects,"Tischchen deck dich, Goldesel und Knüppel aus dem Sack"
217,700,348,Italian,Tales of Magic,Other Tales of the Supernatural,Pollicino
218,700,349,Spanish,Tales of Magic,Other Tales of the Supernatural,Pulgarcito
219,700,350,Danish,Tales of Magic,Other Tales of the Supernatural,Tommeliden
220,700,351,Polish,Tales of Magic,Other Tales of the Supernatural,Paluch
221,700,353,Polish,Tales of Magic,Other Tales of the Supernatural,Tom Thumb
222,700,354,French,Tales of Magic,Other Tales of the Supernatural,Tom Pouce
223,700,355,German,Tales of Magic,Other Tales of the Supernatural,Daumesdick
224,UNKNOWN,358,Italian,UNKNOWN,UNKNOWN,La signora volpe
225,UNKNOWN,359,Spanish,UNKNOWN,UNKNOWN,La boda de Dama Raposa
226,UNKNOWN,360,Danish,UNKNOWN,UNKNOWN,Fru Rævs bryllup
227,UNKNOWN,363,Polish,UNKNOWN,UNKNOWN,The wedding of Mrs. Fox
228,UNKNOWN,365,German,UNKNOWN,UNKNOWN,Die Hochzeit der Frau Füchsin
229,UNKNOWN,368,Italian,UNKNOWN,UNKNOWN,Gli gnomi
230,UNKNOWN,369,Spanish,UNKNOWN,UNKNOWN,Los duendecillos
231,UNKNOWN,370,Danish,UNKNOWN,UNKNOWN,Nisserne
232,UNKNOWN,373,English,UNKNOWN,UNKNOWN,The Elves
233,UNKNOWN,374,French,UNKNOWN,UNKNOWN,Les lutins
234,UNKNOWN,375,German,UNKNOWN,UNKNOWN,Die Wichtelmänner
235,955,378,Italian,Realistic Tales,Robbers and Murderers,Il fidanzato brigante
236,955,379,Spanish,Realistic Tales,Robbers and Murderers,La novia del bandolero
237,955,380,Danish,Realistic Tales,Robbers and Murderers,Røverbrudgommen
238,955,383,English,Realistic Tales,Robbers and Murderers,The robber bridegroom
239,955,384,French,Realistic Tales,Robbers and Murderers,Le Fiancé voleur
240,955,385,German,Realistic Tales,Robbers and Murderers,Der Räuberbräutigam
241,210,388,Italian,Animal Tales,Domestic Animals,Messer Babau
242,210,389,Spanish,Animal Tales,Domestic Animals,El señor Korbes
243,210,390,Danish,Animal Tales,Domestic Animals,Hr. Korbes
244,210,393,English,Animal Tales,Domestic Animals,Herr Korbes
245,210,395,German,Animal Tales,Domestic Animals,Herr Korbes
246,332,397,Italian,Tales of Magic,Supernatural Adversaries,Il compare
247,332,398,Spanish,Tales of Magic,Supernatural Adversaries,El señor padrino
248,332,399,Danish,Tales of Magic,Supernatural Adversaries,Gudfaderen
249,332,402,English,Tales of Magic,Supernatural Adversaries,The godfather
250,332,404,German,Tales of Magic,Supernatural Adversaries,Der Herr Gevatter
251,UNKNOWN,408,Spanish,UNKNOWN,UNKNOWN,La dama duende
252,UNKNOWN,409,Danish,UNKNOWN,UNKNOWN,Heksen
253,UNKNOWN,412,English,UNKNOWN,UNKNOWN,Frau Trude
254,UNKNOWN,413,French,UNKNOWN,UNKNOWN,Dame Trude (La sorcière)
255,UNKNOWN,414,German,UNKNOWN,UNKNOWN,Frau Trude
256,332,417,Italian,Tales of Magic,Supernatural Adversaries,Comare Morte
257,332,418,Spanish,Tales of Magic,Supernatural Adversaries,La Muerte Madrina
258,332,419,Danish,Tales of Magic,Supernatural Adversaries,Dødens gudsøn
259,332,420,Polish,Tales of Magic,Supernatural Adversaries,Kuma Śmierć
260,332,422,English,Tales of Magic,Supernatural Adversaries,Godfather Death
261,332,423,French,Tales of Magic,Supernatural Adversaries,La mort marraine
262,332,424,German,Tales of Magic,Supernatural Adversaries,Der Gevatter Tod
263,700,427,Italian,Tales of Magic,Other Tales of the Supernatural,"Il viaggio di Pollicino, il piccolo sarto"
264,700,428,Spanish,Tales of Magic,Other Tales of the Supernatural,Las correrías de Pulgarcito
265,700,429,Danish,Tales of Magic,Other Tales of the Supernatural,Tomling på rejse
266,700,433,German,Tales of Magic,Other Tales of the Supernatural,Daumerlings Wanderschaft
267,311,436,Spanish,Tales of Magic,Supernatural Adversaries,El pájaro del brujo
268,311,437,Danish,Tales of Magic,Supernatural Adversaries,Fitchers fugl
269,311,440,German,Tales of Magic,Supernatural Adversaries,Fitchers Vogel
270,720,443,Italian,Tales of Magic,Other Tales of the Supernatural,Il ginepro
271,720,444,Spanish,Tales of Magic,Other Tales of the Supernatural,El enebro
272,720,445,Danish,Tales of Magic,Other Tales of the Supernatural,Enebærtræet
273,720,446,Polish,Tales of Magic,Other Tales of the Supernatural,Krzak jałowca
274,720,448,English,Tales of Magic,Other Tales of the Supernatural,The almond tree
275,720,449,French,Tales of Magic,Other Tales of the Supernatural,Le conte du genévrier
276,720,450,German,Tales of Magic,Other Tales of the Supernatural,Von dem Machandelboom
277,101,453,Italian,Animal Tales,Wild Animals and Domestic Animals,Il vecchio Sultano
278,101,454,Spanish,Animal Tales,Wild Animals and Domestic Animals,El viejo Sultán
279,101,455,Danish,Animal Tales,Wild Animals and Domestic Animals,Den gamle Sultan
280,101,456,Polish,Animal Tales,Wild Animals and Domestic Animals,Stary Sułtan
281,101,458,English,Animal Tales,Wild Animals and Domestic Animals,Old Sultan
282,101,459,French,Animal Tales,Wild Animals and Domestic Animals,Le vieux Sultan
283,101,460,German,Animal Tales,Wild Animals and Domestic Animals,Der alte Sultan
284,451,463,Italian,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,I sei cigni
285,451,464,Spanish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Los seis cisnes
286,451,465,Danish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,De seks svaner
287,451,468,English,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The six swans
288,451,469,French,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Les six frères cygnes
289,451,470,German,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Die sechs Schwäne
290,410,473,Italian,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Rosaspina
291,410,474,Spanish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,La Bella Durmiente
292,410,475,Danish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Tornerose
293,410,476,Polish,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,Śpiąca królewna
