,atu,id,language,level_1,level_2,title
193,1696,305,English,Anecdotes and Jokes,Stories about a Man,Clever Hans
344,1387,565,English,Anecdotes and Jokes,Stories about Married Couples,Frederick and Catherine
355,1535,585,English,Anecdotes and Jokes,Stories about a Man,The little peasant
402,1650,668,English,Anecdotes and Jokes,Stories about a Man,The three children of fortune
440,1741,734,English,Anecdotes and Jokes,Jokes about Clergymen and Religious Figures,Clever Grethel
555,1641,933,English,Anecdotes and Jokes,Stories about a Man,Doctor Know-all
772,1965,1315,English,Anecdotes and Jokes,Tall Tales,Knoist and his three sons
784,1940,1335,English,Anecdotes and Jokes,Tall Tales,Domestic servants
799,1696,1363,English,Anecdotes and Jokes,Stories about a Man,Going a-travelling
863,1452,1480,English,Anecdotes and Jokes,Stories about a Woman,Brides on their trial
868,1451,1489,English,Anecdotes and Jokes,Stories about a Woman,Odds and ends
913,1430,1569,English,Anecdotes and Jokes,Stories about Married Couples,Lazy Harry
931,1430,1607,English,Anecdotes and Jokes,Stories about Married Couples,Lean Lisa
957,1281,1666,English,Anecdotes and Jokes,Stories about a Fool,The owl
1008,1876,1764,English,Anecdotes and Jokes,Tall Tales,The poor boy in the grave
1146,1535,2008,English,Anecdotes and Jokes,Stories about a Man,Little Claus and big Claus
1194,1620,2056,English,Anecdotes and Jokes,Stories about a Man,The emperor's new suit
2231,1459,3256,English,Anecdotes and Jokes,Stories about a Woman,How One Went Out to Woo
2238,1415,3263,English,Anecdotes and Jokes,Stories about Married Couples,Gudbrand on the Hill-side
2252,1525,3277,English,Anecdotes and Jokes,Stories about a Man,The Master Thief
2256,1408,3281,English,Anecdotes and Jokes,Stories about Married Couples,The Husband Who Was to Mind the House
2264,1535,3289,English,Anecdotes and Jokes,Stories about a Man,Big Peter and Little Peter 
2274,1725,3299,English,Anecdotes and Jokes,Jokes about Clergymen and Religious Figures,Tom Totherhouse
2282,1365,3307,English,Anecdotes and Jokes,Stories about Married Couples,Goody Gainst-the-stream
2290,1641,3315,English,Anecdotes and Jokes,Stories about a Man,The Charcoal-burner
2295,1651,3320,English,Anecdotes and Jokes,Stories about a Man,The Honest Penny
2298,1537,3323,English,Anecdotes and Jokes,Stories about a Man,Our Parish Clerk
2301,1691,3326,English,Anecdotes and Jokes,Stories about a Man,Silly Matt
2306,1542,3331,English,Anecdotes and Jokes,Stories about a Man,Peik
2310,1453,3335,English,Anecdotes and Jokes,Stories about a Woman,The Storehouse Key in the Disdaff
3329,1305,5358,English,Anecdotes and Jokes,Stories about a Fool,The Miser
3330,1682,5359,English,Anecdotes and Jokes,Stories about a Man,The Horse and Groom
3452,1342,5481,English,Anecdotes and Jokes,Stories about a Fool,The Man and the Satyr
3487,1333,5516,English,Anecdotes and Jokes,Stories about a Fool,The Shepherd's Boy and the Wolf
34,516,54,English,Tales of Magic,Supernatural Helpers,Trusty John
52,451,84,English,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The twelve brothers
71,310,114,English,Tales of Magic,Supernatural Adversaries,Rapunzel
90,327,144,English,Tales of Magic,Supernatural Adversaries,Hansel and Gretel
96,612,154,English,Tales of Magic,Magic Objects,The three snake-leaves
102,673,164,English,Tales of Magic,Supernatural Power or Knowledge,The white snake
116,555,184,English,Tales of Magic,Supernatural Helpers,The fisherman and his wife
143,480,229,English,Tales of Magic,Supernatural Tasks,Mother Hulda
150,451,239,English,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The seven ravens
157,333,249,English,Tales of Magic,Supernatural Adversaries,Little Red Riding Hood
198,671,315,English,Tales of Magic,Supernatural Power or Knowledge,The three languages
215,563,344,English,Tales of Magic,Magic Objects,"The Wishing-Table, the Gold-Ass, and the Cudgel in the Sack"
249,332,402,English,Tales of Magic,Supernatural Adversaries,The godfather
260,332,422,English,Tales of Magic,Supernatural Adversaries,Godfather Death
274,720,448,English,Tales of Magic,Other Tales of the Supernatural,The almond tree
318,569,518,English,Tales of Magic,Magic Objects,"The knapsack, the hat, and the horn"
323,500,528,English,Tales of Magic,Supernatural Helpers,Rumpelstiltskin
333,550,547,English,Tales of Magic,Supernatural Helpers,The golden bird
350,567,575,English,Tales of Magic,Magic Objects,The two brothers
360,554,595,English,Tales of Magic,Supernatural Helpers,The queen bee
366,402,605,English,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The three feathers
371,571,614,English,Tales of Magic,Magic Objects,The golden goose
376,510,623,English,Tales of Magic,Supernatural Helpers,All-kinds-of-fur
391,325,649,English,Tales of Magic,Supernatural Adversaries,The thief and his master
408,513,677,English,Tales of Magic,Supernatural Helpers,Six soldiers of fortune
484,555,812,English,Tales of Magic,Supernatural Helpers,The gold-children
515,650,859,English,Tales of Magic,Supernatural Power or Knowledge,The young giant
531,401,887,English,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The raven
550,551,924,English,Tales of Magic,Supernatural Helpers,The water of life
561,331,943,English,Tales of Magic,Supernatural Adversaries,The spirit in the glass bottle
571,361,961,English,Tales of Magic,Supernatural Adversaries,Bearskin
600,613,1017,English,Tales of Magic,Magic Objects,The two travellers
622,304,1055,English,Tales of Magic,Supernatural Adversaries,The skilful huntsman
649,562,1104,English,Tales of Magic,Magic Objects,The blue light
679,567,1158,English,Tales of Magic,Magic Objects,Donkey cabbages
685,442,1167,English,Tales of Magic,Supernatural or Enchanted Wife (Husband) or Other Relative,The old woman in the wood
691,654,1177,English,Tales of Magic,Supernatural Power or Knowledge,The three brothers
